,0,1,2,3,4,5,6,7,8,9,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Children,Other Comments,phase 3 genotypes,related genotypes,omni genotypes,affy_genotypes,Population Description,Continental,Sequence Data Available,Alignment Data Available,Variant Data Available
HG01112,-67.27896,97.54094,38.515446,-33.63243,11.307245,-11.435837,-12.964475,-10.164637,14.13311,-6.3918376,CLM03,0,0,1,0,CLM,father,0,0,0,HG01114,0,1,0,1,1,"Colombians from Medellin, Colombia",AMR,1.0,1.0,1.0
HG01113,-79.46831,53.293095,30.203403,88.31563,-32.691788,-13.65616,-1.9058698,-3.1507118,16.52153,-2.770001,CLM03,0,0,2,0,CLM,mother,0,0,0,HG01114,0,1,0,1,1,"Colombians from Medellin, Colombia",AMR,1.0,1.0,1.0
HG01119,-95.32836,31.227613,9.188216,145.61938,-1.6557323,-40.16831,27.1534,4.0195594,2.6209261,-11.532085,CLM01,0,0,2,0,CLM,mother,0,0,0,0,0,1,0,0,1,"Colombians from Medellin, Colombia",AMR,1.0,1.0,1.0
HG01121,-92.8942,71.52301,2.6702077,167.09969,-10.643717,-27.458035,19.344023,-11.321789,-5.7971883,38.023598,CLM02,0,0,1,0,CLM,father,0,0,0,HG01123,0,1,0,0,1,"Colombians from Medellin, Colombia",AMR,1.0,1.0,1.0
HG01500,-78.70342,104.18616,27.558645,-11.328714,-0.22347267,3.5500307,-22.477812,27.392607,-12.231404,19.881474,IBS001,0,0,1,0,IBS,father,0,0,0,HG01502,0,1,0,1,1,Iberian Population in Spain,EUR,1.0,1.0,1.0
HG01501,-69.876686,97.2438,69.31503,-65.24294,20.1266,-7.620108,7.213344,10.404689,-1.2411892,16.095213,IBS001,0,0,2,0,IBS,mother,0,0,0,HG01502,0,1,0,1,1,Iberian Population in Spain,EUR,1.0,1.0,1.0
HG01503,-69.54843,122.35144,50.860794,-57.676266,-8.682087,19.469234,0.20327547,5.615108,-15.064198,29.111015,IBS002,0,0,1,0,IBS,father,0,0,0,HG01505,0,1,0,1,1,Iberian Population in Spain,EUR,1.0,1.0,1.0
HG01504,-85.95725,98.18291,53.368267,-76.84376,23.146822,-13.513018,1.0937304,-14.899826,-2.7006316,-10.174133,IBS002,0,0,2,0,IBS,mother,0,0,0,HG01505,0,1,0,1,1,Iberian Population in Spain,EUR,1.0,1.0,1.0
HG01565,-107.66015,6.9774957,4.13211,246.99352,-2.9207036,-24.884905,17.558039,-24.790195,16.587982,17.55435,PEL001,0,0,1,0,PEL,father,0,0,0,HG01567,0,1,0,1,1,"Peruvians from Lima, Peru",AMR,1.0,1.0,1.0
HG01566,-96.669044,46.25911,4.7799816,122.56353,4.2542105,-11.176723,5.0060053,-14.188211,-10.236277,4.3941364,PEL001,0,0,2,0,PEL,mother,0,0,0,HG01567,0,1,0,1,1,"Peruvians from Lima, Peru",AMR,1.0,1.0,1.0
HG01571,-107.856674,31.793571,-17.098341,157.89232,-8.593741,-17.14701,26.250278,-8.260947,15.217267,21.682697,PEL003,0,0,1,0,PEL,father,0,0,0,HG01573,0,1,0,1,1,"Peruvians from Lima, Peru",AMR,1.0,1.0,1.0
HG01572,-100.637566,-8.208187,25.791533,211.71902,-11.460738,-44.398476,31.512554,-18.28427,0.92014456,13.570734,PEL003,0,0,2,0,PEL,mother,0,0,0,HG01573,0,1,0,1,1,"Peruvians from Lima, Peru",AMR,1.0,1.0,1.0
